id,lat,lon,height,buildings
47,42.049599000000001,-87.695457500000003,2.0,2
48,42.049629181818183,-87.694086999999982,15.0,11
49,42.049649277777775,-87.692564611111109,20.0,18
50,42.049720705882358,-87.691235647058832,23.5,17
51,42.049692428571426,-87.689602571428594,15.0,7
52,42.049701750000004,-87.688557500000002,8.0,4
53,42.049967000000002,-87.687185999999997,8.0,1
54,42.049652000000002,-87.685112500000002,32.0,2
55,42.049768999999998,-87.683723999999998,2.0,1
56,42.049757249999999,-87.682268999999991,10.0,4
57,42.049743599999999,-87.680949200000001,12.0,5
58,42.049563333333332,-87.679819999999992,7.0,3
59,42.05021,-87.707853999999998,1.0,1
60,42.050398125000001,-87.707037843750001,35.0,32
61,42.050442842105269,-87.705485684210544,25.0,19
62,42.050420368421058,-87.704232000000005,27.0,19
63,42.050372384615379,-87.70284746153844,36.5,26
64,42.050369233333342,-87.701401533333339,31.5,30
65,42.05036860714285,-87.699850714285716,38.0,28
66,42.050449545454541,-87.698351545454543,16.5,11
67,42.050489333333331,-87.697067333333337,16.0,12
68,42.050362999999997,-87.695141000000007,1.0,1
69,42.050355499999995,-87.694152749999986,7.0,4
70,42.050452249999999,-87.692699937499995,19.0,16
71,42.050391818181815,-87.691167545454547,15.0,11
72,42.050539000000001,-87.689494999999994,11.0,5
73,42.050427999999997,-87.688451000000001,2.0,1
74,42.050295000000006,-87.687390333333326,6.0,3
75,42.050465666666668,-87.685009666666659,6.0,3
76,42.050086,-87.684101999999996,6.0,1
77,42.050094999999999,-87.682153999999997,10.0,1
78,42.050568999999996,-87.680954499999999,7.0,2
79,42.050176,-87.679741000000007,2.0,1
80,42.051032333333325,-87.706722538461534,42.0,39
81,42.051004296296298,-87.705497555555567,28.0,27
82,42.051060214285719,-87.70426550000002,42.0,28
83,42.051045864864868,-87.702860324324348,40.0,37
84,42.050977449999998,-87.701360149999999,22.5,20
85,42.051001235294116,-87.699939058823546,28.5,17
86,42.051026285714279,-87.697923142857135,13.0,7
87,42.051018363636359,-87.697057272727278,11.5,11
88,42.050982000000005,-87.695698999999991,2.0,2
89,42.050995444444446,-87.693989833333347,20.5,18
90,42.051028538461537,-87.692691538461546,32.5,26
91,42.051010999999995,-87.691211928571434,20.0,14
92,42.051000800000004,-87.689581599999997,21.5,10
93,42.050889499999997,-87.688570499999997,6.0,2
94,42.051033500000003,-87.687061499999999,6.0,2
95,42.050903333333331,-87.685406666666665,15.5,6
96,42.050702999999999,-87.683924000000005,2.0,1
97,42.051096999999999,-87.682560499999994,19.0,2
98,42.050986999999999,-87.680793999999992,5.5,2
99,42.050806000000001,-87.679611499999993,7.0,2
100,42.051505111111112,-87.706701888888873,18.0,18
101,42.051570199999993,-87.705573966666677,36.5,30
102,42.051574444444441,-87.704239277777774,25.5,18
103,42.051569368421063,-87.702931842105272,24.0,19
104,42.051543437500001,-87.701369812500005,21.5,16
105,42.051647105263157,-87.699899736842113,27.5,19
106,42.051710800000009,-87.698236066666666,18.5,15
107,42.051638687500002,-87.697038499999991,22.0,16
108,42.051748000000003,-87.695397,2.0,2
109,42.051646055555551,-87.694073777777788,28.5,18
110,42.051632727272732,-87.69284440909091,33.0,22
111,42.051559624999996,-87.691118125000003,22.5,16
112,42.051682142857139,-87.689641214285729,21.0,14
113,42.051765500000002,-87.687118999999996,5.0,2
114,42.051411999999999,-87.684163999999996,4.0,1
115,42.051525000000005,-87.682373999999996,26.0,7
116,42.051648,-87.68100428571428,14.5,7
117,42.051696800000002,-87.679497599999991,8.0,5
118,42.052242999999997,-87.706449750000004,6.0,4
119,42.052309999999999,-87.705583650000008,20.5,20
120,42.052302230769229,-87.704312653846145,29.0,26
121,42.052285250000004,-87.702828812500002,20.5,16
122,42.05233873684211,-87.70110278947368,22.5,19
123,42.052345941176469,-87.699772470588229,27.0,17
124,42.052338153846151,-87.698364999999995,19.0,13
125,42.052361399999995,-87.696808799999999,19.0,10
126,42.052428599999999,-87.696014599999998,11.0,5
127,42.052254600000005,-87.694000000000003,8.5,5
128,42.052189769230772,-87.692559999999986,19.5,13
129,42.052470499999998,-87.691108416666665,12.5,12
130,42.052291000000004,-87.689803428571409,13.5,7
131,42.052446000000003,-87.688487500000008,4.0,2
132,42.052325333333336,-87.686472333333327,10.0,6
133,42.052384375000003,-87.685816875,16.0,8
134,42.052110749999997,-87.684116500000002,19.0,4
135,42.052204000000003,-87.681882000000002,2.0,1
136,42.052288285714283,-87.680962714285712,21.5,7
137,42.052331800000005,-87.679936400000003,11.5,5
138,42.053093000000004,-87.710050999999993,2.0,2
139,42.052990000000001,-87.709220000000002,1.0,1
140,42.052881473684202,-87.70546031578948,24.5,19
141,42.052909928571424,-87.704418785714253,17.0,14
142,42.052888571428575,-87.702873178571423,32.0,28
143,42.052923468750002,-87.701186281250017,33.5,32
144,42.052943571428571,-87.699745214285699,31.0,28
145,42.052883937499999,-87.698261562499994,21.0,16
146,42.052929200000001,-87.696915700000005,16.0,10
147,42.052981625000001,-87.695644812500007,27.0,16
148,42.052765333333333,-87.693544333333321,6.0,3
149,42.052937058823531,-87.692585823529399,25.0,17
150,42.052893275862068,-87.691150999999991,39.0,29
151,42.052807230769233,-87.689874846153842,20.5,13
152,42.052951749999998,-87.6885355,9.0,4
153,42.05280664705883,-87.686697764705869,27.0,17
154,42.052800285714291,-87.685569857142852,26.5,21
155,42.052926428571425,-87.682372857142852,17.0,7
156,42.052885833333335,-87.680732166666687,15.5,6
157,42.052929555555558,-87.680238999999986,11.5,9
158,42.053564538461544,-87.710018846153829,16.0,13
159,42.053567055555554,-87.708710611111115,14.5,18
160,42.053792000000001,-87.707023000000007,1.0,1
161,42.053402700000007,-87.704344099999986,11.5,10
162,42.053432933333333,-87.702929799999993,19.0,15
163,42.053413454545449,-87.701291545454566,24.0,22
164,42.0534745,-87.69976004166665,34.0,24
165,42.05349135294118,-87.698192117647054,19.5,17
166,42.053417714285715,-87.697133857142845,12.0,7
167,42.053473666666669,-87.695381555555556,13.5,9
168,42.053588499999996,-87.694159500000012,1.0,4
169,42.053496863636362,-87.692652545454536,28.5,22
170,42.05356295,-87.691319600000014,25.0,20
171,42.053499000000002,-87.690088166666669,5.0,6
172,42.053637999999999,-87.688723333333328,4.0,3
173,42.053504433333345,-87.686757200000002,50.0,30
174,42.053503135135138,-87.685480918918913,67.0,37
175,42.053640000000001,-87.683661000000001,0.0,1
176,42.053411249999996,-87.682536250000013,11.0,4
177,42.053494388888879,-87.680943000000013,32.5,18
178,42.053567642857146,-87.679921214285727,16.5,14
179,42.054188411764713,-87.710076705882358,25.0,17
180,42.054244619047623,-87.708532523809509,22.0,21
181,42.054173666666664,-87.707545333333329,6.0,6
182,42.053987076923086,-87.702777615384619,15.0,13
183,42.054155250000001,-87.701216071428561,31.0,28
184,42.054156892857129,-87.699727892857155,39.0,28
185,42.054116166666667,-87.69828183333334,18.0,12
186,42.054196105263166,-87.696911157894732,32.0,19
187,42.054043999999998,-87.694940000000003,2.0,1
188,42.05430485714286,-87.693751857142857,8.0,7
189,42.054209777777778,-87.692491999999987,20.0,9
190,42.054258090909094,-87.69151572727273,13.5,11
191,42.054074999999997,-87.689599999999999,1.0,1
192,42.054230058823535,-87.686677764705891,33.5,17
193,42.054282624999999,-87.685361124999986,26.5,16
194,42.054222444444441,-87.684220444444449,14.5,9
195,42.054180249999995,-87.682538916666672,29.0,12
196,42.054192400000005,-87.680820799999992,15.5,5
197,42.054278777777782,-87.679643222222211,17.0,9
198,42.054739227272727,-87.710210818181821,32.0,22
199,42.054785695652164,-87.708560739130434,26.0,23
200,42.054804555555556,-87.707226111111098,29.0,18
201,42.054888692307699,-87.706018076923087,16.0,13
202,42.054618307692301,-87.70127792307693,13.0,13
203,42.054760689655176,-87.699696448275859,37.0,29
204,42.054772125,-87.698260500000004,28.0,16
205,42.054831800000002,-87.697011750000001,28.5,20
206,42.055069000000003,-87.696098000000006,0.0,1
207,42.054789666666665,-87.693824555555551,11.0,9
208,42.054859800000003,-87.693156599999995,5.0,5
209,42.054610333333336,-87.691423999999998,14.0,6
210,42.055053833333339,-87.688675833333335,8.0,6
211,42.054750217391309,-87.686543434782607,40.5,23
212,42.054808666666666,-87.685356208333317,43.5,24
213,42.054745478260863,-87.6841412173913,33.5,23
214,42.054755249999999,-87.6825270625,27.5,16
215,42.054813666666668,-87.680616499999999,14.0,6
216,42.054747666666664,-87.679670777777773,19.0,9
217,42.055286333333335,-87.70991325,18.0,12
218,42.05533529411764,-87.708501352941198,22.0,17
219,42.055490076923078,-87.707133076923071,17.5,13
220,42.055342823529415,-87.705550823529421,19.5,17
221,42.055712999999997,-87.704858000000002,1.5,1
222,42.055134000000002,-87.701434000000006,1.0,1
223,42.055295363636361,-87.699575272727259,15.0,11
224,42.055339421052636,-87.698156736842108,27.0,19
225,42.055330142857144,-87.696757571428549,26.0,14
226,42.055299888888889,-87.696155000000019,12.0,9
227,42.055207800000005,-87.693775399999993,8.5,5
228,42.055393375000001,-87.693133000000003,8.0,8
229,42.055120000000002,-87.691541999999998,2.0,1
230,42.055544599999998,-87.689145599999989,8.0,5
231,42.05541338095238,-87.688420428571433,36.5,21
232,42.055357428571426,-87.686698285714286,14.0,7
233,42.05543673333333,-87.685663399999996,24.0,15
234,42.055391933333333,-87.683999600000021,26.5,15
235,42.055368333333334,-87.682689666666676,38.0,21
236,42.0553618,-87.680739100000011,22.5,10
237,42.055393749999993,-87.679585375000002,17.5,8
238,42.056066393939396,-87.709984939393934,49.0,33
239,42.056062958333335,-87.708436499999991,28.5,24
240,42.056040600000003,-87.707157649999999,28.0,20
241,42.056013681818186,-87.70552354545454,27.5,22
242,42.056086071428567,-87.70441021428573,15.5,14
243,42.056002444444445,-87.698250999999999,11.0,9
244,42.056015374999994,-87.69702375,20.0,16
245,42.056032388888895,-87.695577555555559,28.5,18
246,42.055949333333331,-87.693871166666668,8.0,6
247,42.055984799999997,-87.693051999999994,7.0,5
248,42.056230124999999,-87.690948250000005,10.5,8
249,42.056142100000002,-87.690014099999999,14.5,10
250,42.056033999999997,-87.688197000000002,2.0,2
251,42.056081333333331,-87.686562166666647,15.0,6
252,42.056102777777774,-87.685467611111122,28.5,18
253,42.056139181818175,-87.684066818181819,15.0,11
254,42.0560531,-87.682760099999996,18.0,10
255,42.056127538461539,-87.680837230769228,23.0,13
256,42.056024899999997,-87.679721600000008,16.0,10
257,42.056730916666666,-87.709934499999989,18.5,12
258,42.05660975,-87.708335375000004,13.0,8
259,42.056594000000011,-87.70699042857143,21.0,14
260,42.056587615384615,-87.705671461538458,15.5,13
261,42.0565298,-87.704341400000004,13.0,10
262,42.056466999999998,-87.700790000000012,1.5,2
263,42.05686,-87.699849999999998,2.0,1
264,42.056612999999999,-87.699029999999993,0.0,1
265,42.056639642857149,-87.69676321428571,13.5,14
266,42.056629142857147,-87.695607142857142,12.0,7
267,42.056601874999998,-87.694019999999995,10.0,8
268,42.056571833333336,-87.693012833333327,8.0,6
269,42.056682500000001,-87.691239791666661,31.5,24
270,42.056720333333338,-87.690021933333327,23.0,15
271,42.056720466666668,-87.685322066666686,30.0,15
272,42.056632444444439,-87.684103555555552,14.5,9
273,42.056514749999998,-87.682850500000001,15.0,8
274,42.056659473684213,-87.680899842105262,28.0,19
275,42.056688428571427,-87.679780928571432,21.5,14
276,42.057292689655178,-87.710126655172431,34.5,29
277,42.057296760000007,-87.708561839999987,31.5,25
278,42.057303969696974,-87.707152272727271,38.5,33
279,42.057332000000009,-87.705557464285704,34.0,28
280,42.05733193939394,-87.704242090909091,45.0,33
281,42.057335885714288,-87.70280962857143,51.5,35
282,42.057410166666664,-87.701342666666676,15.0,12
283,42.057100000000005,-87.696411000000012,3.0,2
284,42.057349888888879,-87.695495444444447,13.5,9
285,42.057428142857141,-87.69374314285713,10.0,7
286,42.057480375000004,-87.692135874999991,11.0,8
287,42.057462608695651,-87.691226826086947,26.0,23
288,42.057478375000002,-87.689997312499997,19.5,16
289,42.05760466666667,-87.688291666666672,10.5,6
290,42.057561799999995,-87.687024600000001,7.5,5
291,42.057302733333337,-87.685321733333311,31.0,15
292,42.057350642857145,-87.683960857142864,25.0,14
293,42.057260526315787,-87.682597052631579,41.5,19
294,42.057330263157894,-87.680932315789477,29.0,19
295,42.057437999999998,-87.6796255,8.0,6
296,42.057746312500001,-87.709950625000005,19.5,16
297,42.057858636363633,-87.708753000000016,17.0,11
298,42.057833529411766,-87.707049352941169,22.5,17
299,42.057833071428568,-87.705538357142842,16.0,14
300,42.057955050000004,-87.704321700000008,25.5,20
301,42.057826357142858,-87.702687428571423,14.5,14
302,42.057757111111101,-87.70112444444446,29.0,18
303,42.057775249999999,-87.700065249999994,12.5,8
304,42.0577015,-87.694976999999994,2.0,2
305,42.057822833333333,-87.693953666666673,8.0,6
306,42.057954933333335,-87.692396200000019,21.0,15
307,42.057972444444452,-87.691310166666668,28.5,18
308,42.057994105263163,-87.689950421052615,30.0,19
309,42.057974969696978,-87.688440999999997,44.0,33
310,42.057932444444447,-87.687006833333328,21.0,18
311,42.058001666666669,-87.685450666666668,10.0,3
312,42.0578875,-87.684027999999998,4.0,2
313,42.057994999999998,-87.6824455,5.0,2
314,42.057821599999997,-87.68093180000001,11.5,5
315,42.057974199999997,-87.679749699999988,12.5,10
316,42.058540529411758,-87.70997444117647,36.5,34
317,42.058601333333328,-87.70871533333333,34.5,33
318,42.058582169811324,-87.707079471698123,52.5,53
319,42.058641041666668,-87.705585749999997,25.5,24
320,42.058693714285724,-87.704322333333337,40.0,42
321,42.058563611111111,-87.702672750000005,42.5,36
322,42.05858403125,-87.701193937499994,38.5,32
323,42.058565903225812,-87.699785806451601,37.0,31
324,42.058572941176465,-87.698401411764706,19.5,17
325,42.058810000000001,-87.697580499999987,4.0,2
326,42.058721625000004,-87.69239243749999,16.0,16
327,42.058687124999999,-87.691343625000002,24.5,16
328,42.058710714285716,-87.689892,19.0,14
329,42.058713294117645,-87.688389176470579,24.5,17
330,42.058726571428579,-87.686893238095237,25.0,21
331,42.058751000000001,-87.685518166666668,8.5,6
332,42.058410500000001,-87.683833000000007,10.0,4
333,42.058592500000003,-87.68264975000001,7.0,4
334,42.058665727272718,-87.680916636363634,21.5,11
335,42.058744166666663,-87.679621499999996,8.0,6
336,42.059322727272729,-87.705458909090908,12.5,11
337,42.059340555555565,-87.70426466666666,17.0,9
338,42.059140526315787,-87.702717526315794,19.0,19
339,42.059181625000008,-87.701426812499989,17.5,16
340,42.059100466666663,-87.699830733333329,20.0,15
341,42.059116285714289,-87.698414714285718,21.0,14
342,42.059221700000002,-87.697413999999995,13.0,10
343,42.059086199999996,-87.691033399999995,14.0,10
344,42.059111823529413,-87.689800176470598,24.0,17
345,42.059084470588232,-87.688351176470576,19.0,17
346,42.059049999999999,-87.686814736842109,28.0,19
347,42.059260909090909,-87.685355181818181,17.5,11
348,42.059137,-87.684543000000005,2.5,1
349,42.059237666666668,-87.68235966666667,14.0,3
350,42.059244411764702,-87.680893941176464,30.0,17
351,42.059234363636364,-87.679899909090906,12.0,11
352,42.059874000000001,-87.707831999999996,4.5,1
353,42.060028000000003,-87.707183999999998,3.0,1
354,42.059791090909087,-87.705255545454534,15.0,11
355,42.059798727272728,-87.70424536363636,18.0,11
356,42.059828588235291,-87.702829411764711,24.0,17
357,42.059843566666672,-87.701214800000017,37.0,30
358,42.059870812499994,-87.699843000000001,20.0,16
359,42.0598137826087,-87.6983715652174,28.0,23
360,42.059700333333332,-87.697534333333337,11.0,9
361,42.059811500000002,-87.6956895,2.0,2
362,42.059740249999997,-87.6906015,5.5,4
363,42.05974306666667,-87.68962613333332,23.5,15
364,42.059833666666663,-87.688328555555572,40.0,27
365,42.059817357142855,-87.686905571428582,48.5,28
366,42.05983090476191,-87.685340380952383,36.0,21
367,42.060007250000005,-87.684362249999992,7.0,4
368,42.060003444444447,-87.682426888888884,18.0,9
369,42.059880647058833,-87.680884588235287,27.0,17
370,42.059891750000006,-87.679666124999997,15.0,8
371,42.060405333333335,-87.709548333333331,4.0,3
372,42.060544999999998,-87.707263999999995,3.0,1
373,42.060403000000001,-87.705254272727288,17.0,11
374,42.06047066666666,-87.704231555555566,29.0,18
375,42.06045116,-87.70278252,32.0,25
376,42.060448517241369,-87.70125910344828,39.0,29
377,42.060414333333334,-87.699806277777782,25.0,18
378,42.060391947368416,-87.698453421052633,29.0,19
379,42.060758,-87.697418999999996,1.0,1
380,42.060274999999997,-87.696111999999999,3.0,2
381,42.060412999999997,-87.694355333333348,19.0,15
382,42.060363000000002,-87.689080000000004,2.0,2
383,42.060393761904763,-87.688447190476182,33.5,21
384,42.0603919375,-87.686880562499994,18.5,16
385,42.060370357142858,-87.68563585714287,21.5,14
386,42.060443999999997,-87.684199499999991,19.5,12
387,42.060428625,-87.682476374999993,28.5,16
388,42.060244500000003,-87.680882999999994,15.0,6
389,42.060382000000004,-87.67972342857145,10.5,7
390,42.061142899999993,-87.710038400000002,14.0,10
391,42.061205272727278,-87.708607727272749,16.0,11
392,42.0612092,-87.707144099999994,29.0,20
393,42.061157222222221,-87.70549444444444,16.0,9
394,42.061215562499996,-87.704246624999996,18.0,16
395,42.061146545454555,-87.702515818181823,16.5,11
396,42.061170133333341,-87.7011866,16.5,15
397,42.061195071428571,-87.699803071428576,20.0,14
398,42.0612244,-87.698769300000009,18.0,10
399,42.061202999999999,-87.695204749999988,3.0,4
400,42.061153000000012,-87.694080235294109,23.0,17
401,42.061142375000003,-87.692838437500001,24.0,16
402,42.061424000000002,-87.691821000000004,2.0,1
403,42.060948400000001,-87.687953000000007,5.0,5
404,42.060982631578952,-87.68689568421054,30.0,19
405,42.060995642857144,-87.685636928571412,27.0,14
406,42.061127190476185,-87.683919095238096,29.5,21
407,42.06111723529412,-87.682463176470606,50.0,34
408,42.061140999999999,-87.679304000000002,2.5,2
409,42.061596999999999,-87.709979375000003,14.0,8
410,42.061614875000004,-87.708543125000006,11.0,8
411,42.061681916666672,-87.70694300000001,17.0,12
412,42.061611111111112,-87.705628333333323,15.0,9
413,42.061786111111104,-87.704104888888878,12.5,9
414,42.061632125000003,-87.702510187499996,27.0,16
415,42.061688291666663,-87.701226916666656,36.5,24
416,42.061692999999998,-87.699816999999996,27.0,16
417,42.061706999999998,-87.698722500000002,5.0,2
418,42.061802999999998,-87.697515999999993,3.0,1
419,42.061726846153846,-87.69531600000002,18.0,13
420,42.061699266666665,-87.694061733333328,24.0,15
421,42.061676684210525,-87.692794473684202,28.0,19
422,42.061705615384618,-87.691435384615389,24.0,13
423,42.061430000000001,-87.685185000000004,2.0,1
424,42.061994666666671,-87.683370666666676,4.0,3
425,42.061684499999998,-87.682682785714277,20.5,14
426,42.061928800000004,-87.680997900000008,14.0,10
427,42.061866000000002,-87.680091000000004,6.0,3
